infrastructure,dataset_size,RAM,CPUMHz,ref_genome_size,Hisat2,STAR,Salmon
TU-FONDA-cluster,0.35,15,2945.643,0.137,205.5,346,68.5
TU-FONDA-cluster,1.3,15,2945.643,0.137,539.5,2394.5,231
TU-FONDA-cluster,3.5,15,2945.643,0.137,1610,2421,617
TU-FONDA-cluster,4.8,15,2945.643,0.137,1560,19291,644
TU-FONDA-cluster,13,15,2945.643,0.137,7035,15268.5,2386
TU-FONDA-cluster,48,15,2945.643,0.137,23050,32300,6668.5
redwood,0.35,346,3301.000,0.137,111.5,138,25
redwood,1.3,346,3301.000,0.137,307,699,79
redwood,3.5,346,3301.000,0.137,177,330,25.35
redwood,4.8,346,3301.000,0.137,1009.5,5482.5,242
redwood,13,346,3301.000,0.137,671,1812,74
redwood,48,346,3301.000,0.137,2219,14180,464
